indicator,drug_type,lhn,financial_year,year_start,count,mean_bed_days,group_by,sex,age_group,indigenous_status,seifa_quintile,remoteness,population,rate_per_100k,rate_lcl,rate_ucl
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2021-22,2021,2,1.5,Total,Persons,All ages,All,All,All,70840,2.8,0.0,6.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2022-23,2022,4,2.25,Total,Persons,All ages,All,All,All,71690,5.6,0.1,11.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2023-24,2023,2,1.0,Total,Persons,All ages,All,All,All,72550,2.8,0.0,6.6
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Flinders and Upper North LHN,2024-25,2024,1,4.0,Total,Persons,All ages,All,All,All,73420,1.4,0.0,4.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Limestone Coast LHN,2020-21,2020,1,1.0,Total,Persons,All ages,All,All,All,65000,1.5,0.0,4.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Limestone Coast LHN,2021-22,2021,1,3.0,Total,Persons,All ages,All,All,All,65780,1.5,0.0,4.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Limestone Coast LHN,2022-23,2022,2,1.5,Total,Persons,All ages,All,All,All,66569,3.0,0.0,7.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Limestone Coast LHN,2023-24,2023,2,1.0,Total,Persons,All ages,All,All,All,67368,3.0,0.0,7.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2020-21,2020,9,1.89,Total,Persons,All ages,All,All,All,420000,2.1,0.7,3.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2021-22,2021,10,1.2,Total,Persons,All ages,All,All,All,425040,2.4,0.9,3.9
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2022-23,2022,5,1.6,Total,Persons,All ages,All,All,All,430140,1.2,0.2,2.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2023-24,2023,8,1.75,Total,Persons,All ages,All,All,All,435302,1.8,0.5,3.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Northern Adelaide LHN,2024-25,2024,10,2.3,Total,Persons,All ages,All,All,All,440525,2.3,0.9,3.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Riverland Mallee Coorong LHN,2020-21,2020,2,1.0,Total,Persons,All ages,All,All,All,70000,2.9,0.0,6.9
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Riverland Mallee Coorong LHN,2021-22,2021,1,2.0,Total,Persons,All ages,All,All,All,70840,1.4,0.0,4.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Riverland Mallee Coorong LHN,2022-23,2022,1,1.0,Total,Persons,All ages,All,All,All,71690,1.4,0.0,4.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Riverland Mallee Coorong LHN,2023-24,2023,1,1.0,Total,Persons,All ages,All,All,All,72550,1.4,0.0,4.1
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2020-21,2020,29,1.55,Total,Persons,All ages,All,All,All,1810000,1.6,1.0,2.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2021-22,2021,39,1.51,Total,Persons,All ages,All,All,All,1831720,2.1,1.4,2.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2022-23,2022,35,1.6,Total,Persons,All ages,All,All,All,1853700,1.9,1.3,2.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2023-24,2023,41,1.88,Total,Persons,All ages,All,All,All,1875945,2.2,1.5,2.9
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,South Australia (All LHNs),2024-25,2024,39,1.87,Total,Persons,All ages,All,All,All,1898456,2.1,1.5,2.7
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2020-21,2020,3,1.0,Total,Persons,All ages,All,All,All,400000,0.8,0.0,1.6
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2021-22,2021,4,2.0,Total,Persons,All ages,All,All,All,404800,1.0,0.0,2.0
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2022-23,2022,9,1.56,Total,Persons,All ages,All,All,All,409657,2.2,0.8,3.6
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2023-24,2023,8,1.5,Total,Persons,All ages,All,All,All,414573,1.9,0.6,3.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Southern Adelaide LHN,2024-25,2024,3,1.33,Total,Persons,All ages,All,All,All,419548,0.7,0.0,1.5
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2021-22,2021,6,1.0,Total,Persons,All ages,All,All,All,75900,7.9,1.6,14.2
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2022-23,2022,1,1.0,Total,Persons,All ages,All,All,All,76810,1.3,0.0,3.9
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2023-24,2023,1,1.0,Total,Persons,All ages,All,All,All,77732,1.3,0.0,3.8
Alcohol and other drug-related hospitalisations,Analeptics and opioid receptor antagonists,Yorke and Northern LHN,2024-25,2024,3,1.33,Total,Persons,All ages,All,All,All,78665,3.8,0.0,8.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2020-21,2020,2,4.5,Total,Persons,All ages,All,All,All,165000,1.2,0.0,2.9
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2021-22,2021,5,1.0,Total,Persons,All ages,All,All,All,166980,3.0,0.4,5.6
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2022-23,2022,1,1.0,Total,Persons,All ages,All,All,All,168983,0.6,0.0,1.8
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2023-24,2023,2,1.0,Total,Persons,All ages,All,All,All,171011,1.2,0.0,2.8
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Barossa Hills Fleurieu LHN,2024-25,2024,5,1.0,Total,Persons,All ages,All,All,All,173063,2.9,0.4,5.4
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2020-21,2020,7,2.14,Total,Persons,All ages,All,All,All,490000,1.4,0.3,2.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2021-22,2021,11,2.09,Total,Persons,All ages,All,All,All,495880,2.2,0.9,3.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2022-23,2022,8,1.12,Total,Persons,All ages,All,All,All,501830,1.6,0.5,2.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2023-24,2023,11,1.09,Total,Persons,All ages,All,All,All,507852,2.2,0.9,3.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Central Adelaide LHN,2024-25,2024,6,1.67,Total,Persons,All ages,All,All,All,513946,1.2,0.3,2.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Eyre and Far North LHN,2022-23,2022,1,1.0,Total,Persons,All ages,All,All,All,56327,1.8,0.0,5.3
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Eyre and Far North LHN,2023-24,2023,2,1.0,Total,Persons,All ages,All,All,All,57003,3.5,0.0,8.4
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Eyre and Far North LHN,2024-25,2024,2,2.5,Total,Persons,All ages,All,All,All,57687,3.5,0.0,8.3
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Flinders and Upper North LHN,2020-21,2020,1,1.0,Total,Persons,All ages,All,All,All,70000,1.4,0.0,4.2
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Flinders and Upper North LHN,2021-22,2021,3,1.0,Total,Persons,All ages,All,All,All,70840,4.2,0.0,9.0
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Flinders and Upper North LHN,2023-24,2023,1,1.0,Total,Persons,All ages,All,All,All,72550,1.4,0.0,4.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Flinders and Upper North LHN,2024-25,2024,1,3.0,Total,Persons,All ages,All,All,All,73420,1.4,0.0,4.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Limestone Coast LHN,2020-21,2020,1,2.0,Total,Persons,All ages,All,All,All,65000,1.5,0.0,4.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Limestone Coast LHN,2021-22,2021,1,1.0,Total,Persons,All ages,All,All,All,65780,1.5,0.0,4.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2020-21,2020,11,1.09,Total,Persons,All ages,All,All,All,420000,2.6,1.1,4.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2021-22,2021,8,1.75,Total,Persons,All ages,All,All,All,425040,1.9,0.6,3.2
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2022-23,2022,10,2.1,Total,Persons,All ages,All,All,All,430140,2.3,0.9,3.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2023-24,2023,8,1.38,Total,Persons,All ages,All,All,All,435302,1.8,0.5,3.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Northern Adelaide LHN,2024-25,2024,6,2.17,Total,Persons,All ages,All,All,All,440525,1.4,0.3,2.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Riverland Mallee Coorong LHN,2022-23,2022,1,1.0,Total,Persons,All ages,All,All,All,71690,1.4,0.0,4.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Riverland Mallee Coorong LHN,2024-25,2024,1,1.0,Total,Persons,All ages,All,All,All,73420,1.4,0.0,4.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,South Australia (All LHNs),2020-21,2020,25,1.76,Total,Persons,All ages,All,All,All,1810000,1.4,0.9,1.9
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,South Australia (All LHNs),2021-22,2021,35,1.69,Total,Persons,All ages,All,All,All,1831720,1.9,1.3,2.5
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,South Australia (All LHNs),2022-23,2022,28,1.61,Total,Persons,All ages,All,All,All,1853700,1.5,0.9,2.1
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,South Australia (All LHNs),2023-24,2023,26,1.15,Total,Persons,All ages,All,All,All,1875945,1.4,0.9,1.9
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,South Australia (All LHNs),2024-25,2024,23,1.74,Total,Persons,All ages,All,All,All,1898456,1.2,0.7,1.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Southern Adelaide LHN,2020-21,2020,3,1.67,Total,Persons,All ages,All,All,All,400000,0.8,0.0,1.6
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Southern Adelaide LHN,2021-22,2021,6,2.0,Total,Persons,All ages,All,All,All,404800,1.5,0.3,2.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Southern Adelaide LHN,2022-23,2022,6,1.83,Total,Persons,All ages,All,All,All,409657,1.5,0.3,2.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Southern Adelaide LHN,2023-24,2023,1,1.0,Total,Persons,All ages,All,All,All,414573,0.2,0.0,0.7
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Yorke and Northern LHN,2021-22,2021,1,1.0,Total,Persons,All ages,All,All,All,75900,1.3,0.0,3.9
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Yorke and Northern LHN,2022-23,2022,1,1.0,Total,Persons,All ages,All,All,All,76810,1.3,0.0,3.9
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Yorke and Northern LHN,2023-24,2023,1,1.0,Total,Persons,All ages,All,All,All,77732,1.3,0.0,3.8
Alcohol and other drug-related hospitalisations,Androgens and anabolic congeners,Yorke and Northern LHN,2024-25,2024,2,1.5,Total,Persons,All ages,All,All,All,78665,2.5,0.0,6.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2020-21,2020,71,1.55,Total,Persons,All ages,All,All,All,165000,43.0,33.0,53.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2021-22,2021,85,1.74,Total,Persons,All ages,All,All,All,166980,50.9,40.1,61.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2022-23,2022,79,1.72,Total,Persons,All ages,All,All,All,168983,46.8,36.5,57.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,73,1.3,Total,Persons,All ages,All,All,All,171011,42.7,32.9,52.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,79,1.38,Total,Persons,All ages,All,All,All,173063,45.6,35.5,55.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,262,1.67,Total,Persons,All ages,All,All,All,490000,53.5,47.0,60.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,283,1.91,Total,Persons,All ages,All,All,All,495880,57.1,50.5,63.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,349,1.79,Total,Persons,All ages,All,All,All,501830,69.5,62.2,76.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,276,1.79,Total,Persons,All ages,All,All,All,507852,54.3,47.9,60.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,315,1.94,Total,Persons,All ages,All,All,All,513946,61.3,54.5,68.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,38,1.55,Total,Persons,All ages,All,All,All,55000,69.1,47.1,91.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,39,1.64,Total,Persons,All ages,All,All,All,55660,70.1,48.1,92.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,42,2.55,Total,Persons,All ages,All,All,All,56327,74.6,52.0,97.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,41,1.39,Total,Persons,All ages,All,All,All,57003,71.9,49.9,93.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,43,2.05,Total,Persons,All ages,All,All,All,57687,74.5,52.2,96.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Flinders and Upper North LHN,2020-21,2020,48,1.9,Total,Persons,All ages,All,All,All,70000,68.6,49.2,88.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Flinders and Upper North LHN,2021-22,2021,57,2.0,Total,Persons,All ages,All,All,All,70840,80.5,59.6,101.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Flinders and Upper North LHN,2022-23,2022,51,1.69,Total,Persons,All ages,All,All,All,71690,71.1,51.6,90.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Flinders and Upper North LHN,2023-24,2023,50,1.58,Total,Persons,All ages,All,All,All,72550,68.9,49.8,88.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Flinders and Upper North LHN,2024-25,2024,42,1.38,Total,Persons,All ages,All,All,All,73420,57.2,39.9,74.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Limestone Coast LHN,2020-21,2020,28,1.32,Total,Persons,All ages,All,All,All,65000,43.1,27.1,59.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Limestone Coast LHN,2021-22,2021,39,1.59,Total,Persons,All ages,All,All,All,65780,59.3,40.7,77.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Limestone Coast LHN,2022-23,2022,44,1.86,Total,Persons,All ages,All,All,All,66569,66.1,46.6,85.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Limestone Coast LHN,2023-24,2023,46,1.7,Total,Persons,All ages,All,All,All,67368,68.3,48.6,88.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Limestone Coast LHN,2024-25,2024,43,1.79,Total,Persons,All ages,All,All,All,68176,63.1,44.2,82.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Northern Adelaide LHN,2020-21,2020,265,1.94,Total,Persons,All ages,All,All,All,420000,63.1,55.5,70.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Northern Adelaide LHN,2021-22,2021,257,1.69,Total,Persons,All ages,All,All,All,425040,60.5,53.1,67.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Northern Adelaide LHN,2022-23,2022,300,1.68,Total,Persons,All ages,All,All,All,430140,69.7,61.8,77.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Northern Adelaide LHN,2023-24,2023,286,1.8,Total,Persons,All ages,All,All,All,435302,65.7,58.1,73.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Northern Adelaide LHN,2024-25,2024,299,1.83,Total,Persons,All ages,All,All,All,440525,67.9,60.2,75.6
